background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
36,4,300,50,10,0.028499329508756062,0.09713090770042851,0.0686315781918,0.09670874013229151,0.05994069813882143,0.7056151115556,0.33755362161017016,0.20921790223844716,1.9536019536081637e-06,-0.08519937157890367,0.08519937157890366
36,4,300,150,10,0.001492620439988861,0.0029851577534216966,0.0014925373134000001,0.0031465449354217013,0.0019502487561760002,0.5871613838584,0.27355070964115646,0.16954848641220144,0.0,-0.0593201588626483,0.0593201588626483
36,4,300,300,10,0.0,0.0,0.0,0.0,0.0,0.5748382726873,0.33911221320788615,0.2101839273190407,0.0,-0.08057500151065185,0.08057500151065185
36,4,500,50,10,0.31625000000000003,0.34875,0.0325,0.06213783960769083,0.03851343200033521,1.0078205692641,0.01044044998046659,0.0064710579401256385,0.0,-0.0016463062334053202,0.0016463062334053148
36,4,500,150,10,0.0,0.0,0.0,0.0,0.0,0.7426547069363,0.208970577265169,0.12952130567115427,-6.715506715493369e-07,-0.03670394819410572,0.0367039481941057
36,4,500,300,10,0.0,0.0,0.0,0.0,0.0,0.8141132970719,0.14715152506721413,0.09120546015443266,0.0,-0.017426194116599895,0.017426194116599902
36,10,100,50,10,0.0,0.0,0.0,0.0,0.0,0.8720697607307001,0.15914769039797508,0.09864076045853042,1.09890109890598e-06,-0.0052422794070339646,0.005242279407033978
36,10,100,150,10,0.0,0.0,0.0,0.0,0.0,0.8234516202424,0.2591225127824452,0.16060579735004984,1.6117216117217392e-05,-0.008736247263957223,0.00873624726395723
36,10,100,300,10,0.0,0.0,0.0,0.0,0.0,0.8263530664529,0.26136629785028037,0.16199650974331983,1.4407814407813024e-05,-0.008686130447385426,0.008686130447385443
36,10,300,50,10,0.0017991098614925586,0.002099410161792859,0.0003003003003,0.0009496329309805458,0.000588588588588,0.6568178018701001,0.23625689869684213,0.1464335429106988,0.0,-0.026405417879093163,0.026405417879093153
36,10,300,150,10,0.0,0.0,0.0,0.0,0.0,0.8309861247658,0.20573360232609747,0.12751500781802952,0.0,-0.010166574445580969,0.01016657444558099
36,10,300,300,10,0.0,0.0,0.0,0.0,0.0,0.8337853713987,0.20232291879622166,0.12540104426487314,0.0,-0.009832136914489104,0.009832136914489087
36,10,500,50,10,0.006500000000000001,0.0035000000000000005,-0.003,0.003496029493900505,0.0021668615296988607,0.6249801314726999,0.20887829434651065,0.12946410812558495,-5.494505494474389e-07,-0.04091997036573082,0.04091997036573083
36,10,500,150,10,0.0,0.0,0.0,0.0,0.0,0.924831475558,0.03851839161027524,0.023873946461778938,0.0,-0.00448977720939541,0.004489777209395407
36,10,500,300,10,0.0,0.0,0.0,0.0,0.0,0.9278455750664,0.03425512919652692,0.021231549041654304,0.0,-0.0038862424838685557,0.0038862424838685405
36,16,100,50,10,0.0,0.0,0.0,0.0,0.0,0.5884802659662001,0.32749134117478673,0.20298123621073935,1.4652014652005718e-06,-0.017650875798991522,0.01765087579899154
36,16,100,150,10,0.0,0.0,0.0,0.0,0.0,0.1561203058176,0.04515774008273704,0.027989057278876586,1.4652014652005718e-06,-0.03020508828093408,0.0302050882809341
36,16,100,300,10,0.0,0.0,0.0,0.0,0.0,0.1514911437994,0.04424797082761532,0.027425176452566216,1.4652014652005718e-06,-0.03032724945309525,0.030327249453095263
36,16,300,50,10,0.0011236047071070954,0.0011236047071070954,0.0,0.0,0.0,0.8607521472287001,0.1289209674483537,0.07990604347668785,0.0,-0.005332417582417581,0.005332417582417592
36,16,300,150,10,0.0,0.0,0.0,0.0,0.0,0.7332016983791,0.22082278086415466,0.13686737756946285,0.0,-0.01048846153846154,0.010488461538461547
