seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
8,bg24_pdb4_d100_k50_seed01,tail_append,24,4,100,50,0.0025,8583095.6,357628.98333333334,1.0,0.1923962148962149,0.807603785103785,400.0,0.9975,80.0,71.0,9.0,96994173.0
8,bg24_pdb4_d100_k50_seed01,hopeless_front_insert,24,4,100,50,0.0025,1005271.3,41886.30416666667,1.0,0.023486568986568986,0.976513431013431,400.0,0.9975,80.0,71.0,9.0,52314454.0
8,bg24_pdb4_d100_k150_seed01,tail_append,24,4,100,150,0.0,6845588.6,285232.85833333334,1.0,0.15384798534798536,0.8461520146520146,400.0,1.0,128.0,99.0,29.0,319898252.0
8,bg24_pdb4_d100_k150_seed01,hopeless_front_insert,24,4,100,150,0.0,909203.2,37883.46666666667,1.0,0.021775335775335775,0.9782246642246643,400.0,1.0,129.0,100.0,29.0,305118494.0
8,bg24_pdb4_d100_k300_seed01,tail_append,24,4,100,300,0.0,1035312.5,43138.020833333336,1.0,0.024555555555555556,0.9754444444444444,400.0,1.0,184.0,130.0,54.0,754571881.0
8,bg24_pdb4_d100_k300_seed01,hopeless_front_insert,24,4,100,300,0.0,906023.6,37750.98333333333,1.0,0.021645299145299144,0.9783547008547009,400.0,1.0,203.0,145.0,58.0,732598203.0
8,bg24_pdb4_d300_k50_seed01,tail_append,24,4,300,50,0.25925925925925924,15335224.7,638967.6958333333,1.0,0.3133040293040293,0.6866959706959707,135.0,0.7407407407407407,130.0,116.0,14.0,0.0
8,bg24_pdb4_d300_k50_seed01,hopeless_front_insert,24,4,300,50,0.28888888888888886,15177050.8,632377.1166666667,1.0,0.308956043956044,0.6910439560439561,135.0,0.7111111111111111,130.0,116.0,14.0,0.0
8,bg24_pdb4_d300_k150_seed01,tail_append,24,4,300,150,0.007407407407407408,1542056.6,64252.35833333333,1.0,0.0390054945054945,0.9609945054945055,135.0,0.9925925925925926,283.0,245.0,38.0,61773878.0
8,bg24_pdb4_d300_k150_seed01,hopeless_front_insert,24,4,300,150,0.007407407407407408,1413294.8,58887.28333333333,1.0,0.03661660561660562,0.9633833943833944,135.0,0.9925925925925926,283.0,245.0,38.0,62986911.0
8,bg24_pdb4_d300_k300_seed01,tail_append,24,4,300,300,0.0,1508377.9,62849.07916666667,1.0,0.0383028083028083,0.9616971916971917,135.0,1.0,325.0,265.0,60.0,244099165.0
8,bg24_pdb4_d300_k300_seed01,hopeless_front_insert,24,4,300,300,0.0,1353978.6,56415.775,1.0,0.03490598290598291,0.9650940170940171,135.0,1.0,315.0,258.0,57.0,189761062.0
8,bg24_pdb4_d500_k50_seed01,tail_append,24,4,500,50,0.575,22525244.4,938551.85,0.9993516483516484,0.6020417389051999,0.39795826109480015,80.0,0.425,245.0,199.0,46.0,0.0
8,bg24_pdb4_d500_k50_seed01,hopeless_front_insert,24,4,500,50,0.625,22527928.8,938663.7,0.9993516483516484,0.601975151166385,0.39802484883361494,80.0,0.375,245.0,199.0,46.0,0.0
8,bg24_pdb4_d500_k150_seed01,tail_append,24,4,500,150,0.0,12094786.2,503949.425,0.9999297924297924,0.276599394951416,0.723400605048584,80.0,1.0,540.0,413.0,127.0,19685901.0
8,bg24_pdb4_d500_k150_seed01,hopeless_front_insert,24,4,500,150,0.0,2512479.5,104686.64583333333,0.9999297924297924,0.07004765291824518,0.9299523470817548,80.0,1.0,530.0,403.0,127.0,8452550.0
8,bg24_pdb4_d500_k300_seed01,tail_append,24,4,500,300,0.0,2350846.5,97951.9375,0.9999297924297924,0.06499357402992273,0.9350064259700772,80.0,1.0,804.0,559.0,245.0,70995991.0
8,bg24_pdb4_d500_k300_seed01,hopeless_front_insert,24,4,500,300,0.0,2186113.4,91088.05833333333,0.9999297924297924,0.06107999035341309,0.938920009646587,80.0,1.0,670.0,462.0,208.0,115645453.0
8,bg24_pdb10_d100_k50_seed01,tail_append,24,10,100,50,0.001,962026.2,40084.425,1.0,0.022426129426129426,0.9775738705738706,1000.0,0.999,94.0,84.0,10.0,312857663.0
8,bg24_pdb10_d100_k50_seed01,hopeless_front_insert,24,10,100,50,0.001,893160.7,37215.02916666667,1.0,0.021177655677655678,0.9788223443223443,1000.0,0.999,98.0,87.0,11.0,288991155.0
8,bg24_pdb10_d100_k150_seed01,tail_append,24,10,100,150,0.0,3305909.4,137746.225,1.0,0.07029426129426129,0.9297057387057387,1000.0,1.0,144.0,114.0,30.0,1121994144.0
8,bg24_pdb10_d100_k150_seed01,hopeless_front_insert,24,10,100,150,0.0,882052.2,36752.175,1.0,0.02083821733821734,0.9791617826617827,1000.0,1.0,133.0,102.0,31.0,1041436797.0
8,bg24_pdb10_d100_k300_seed01,tail_append,24,10,100,300,0.0,3303653.4,137652.225,1.0,0.06994383394383394,0.930056166056166,1000.0,1.0,0.0,11963.0,37.0,2321715371.0
