seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
12,48,16,300,150,0.0,0.0,0.0,0.7764877932,0.0,-0.012101343101343101,0.012101343101343143
12,48,16,300,300,0.0,0.0,0.0,0.389437289526,0.0,-0.03290964590964591,0.032909645909645846
12,48,16,500,50,0.0,0.0,0.0,0.934757822634,0.0,-0.005517704517704516,0.0055177045177045025
12,48,16,500,150,0.0,0.0,0.0,0.886073438813,0.0,-0.008465201465201466,0.008465201465201466
12,48,16,500,300,0.0,0.0,0.0,0.570348526975,0.0,-0.03144688644688645,0.031446886446886424
13,48,4,100,50,0.0,0.0,0.0,0.158781846141,2.9304029304011436e-05,-0.13913771447492582,0.13913771447492573
13,48,4,100,150,0.0,0.0,0.0,0.159667906649,2.9914529914520926e-05,-0.13800409031991173,0.1380040903199118
13,48,4,100,300,0.0,0.0,0.0,0.159565265638,1.2210012209967758e-05,-0.13701436581383833,0.1370143658138383
13,48,4,300,50,0.0,0.0,0.0,0.340125931043,6.105006104983879e-06,-0.07724937182718976,0.07724937182718983
13,48,4,300,150,0.0,0.0,0.0,0.33076345553,0.0,-0.0720970695970696,0.07209706959706963
13,48,4,300,300,0.0,0.0,0.0,0.332183531066,0.0,-0.07163064713064712,0.07163064713064715
13,48,4,500,50,0.0,0.0125,0.0125,1.001784175047,0.0,-0.007634310134310096,0.007634310134310152
13,48,4,500,150,0.0,0.0,0.0,0.337030670349,0.0,-0.13168070818070818,0.1316807081807082
13,48,4,500,300,0.0,0.0,0.0,0.33858758544,0.0,-0.13035042735042734,0.13035042735042734
13,48,10,100,50,0.0,0.0,0.0,0.165754041084,0.0,-0.12730402930402931,0.1273040293040293
13,48,10,100,150,0.0,0.0,0.0,0.1665349548,0.0,-0.12685958485958487,0.12685958485958482
13,48,10,100,300,0.0,0.0,0.0,0.1665349548,0.0,-0.12685958485958487,0.12685958485958482
13,48,10,300,50,0.0,0.0,0.0,0.343506199297,0.0,-0.06371672771672772,0.06371672771672776
13,48,10,300,150,0.0,0.0,0.0,0.34055062872,0.0,-0.06277838827838828,0.06277838827838833
13,48,10,300,300,0.0,0.0,0.0,0.338099960162,0.0,-0.06323076923076923,0.0632307692307692
13,48,10,500,50,0.0,0.0,0.0,0.894638662086,0.0,-0.007128205128205126,0.007128205128205112
13,48,10,500,150,0.0,0.0,0.0,0.915075324812,0.0,-0.004985958485958494,0.004985958485958508
13,48,10,500,300,0.0,0.0,0.0,0.899478810271,0.0,-0.006885836385836383,0.006885836385836397
13,48,16,100,50,0.0,0.0,0.0,0.820528751995,0.0,-0.00616727716727717,0.006167277167277163
13,48,16,100,150,0.0,0.0,0.0,0.186150053726,0.0,-0.031146520146520147,0.031146520146520196
13,48,16,100,300,0.0,0.0,0.0,0.169250492256,0.0,-0.0313992673992674,0.03139926739926746
13,48,16,300,50,0.0,0.0,0.0,0.878564849224,0.0,-0.0041965811965812005,0.004196581196581173
13,48,16,300,150,0.0,0.0,0.0,0.714274742085,0.0,-0.01526007326007326,0.015260073260073281
13,48,16,300,300,0.0,0.0,0.0,0.405275325978,0.0,-0.03217521367521368,0.03217521367521359
13,48,16,500,50,0.003125,0.0,-0.003125,0.923061069768,0.0,-0.005033577533577527,0.005033577533577471
13,48,16,500,150,0.0,0.0,0.0,0.894053008578,0.0,-0.007765567765567763,0.007765567765567694
13,48,16,500,300,0.0,0.0,0.0,0.558498253328,0.0,-0.033908424908424904,0.03390842490842494
14,48,4,100,50,0.0,0.0,0.0,0.114617106558,0.0,-0.28259523809523807,0.2825952380952381
14,48,4,100,150,0.0,0.0,0.0,0.207168306359,0.0,-0.07443345543345542,0.07443345543345548
14,48,4,100,300,0.0,0.0,0.0,0.197537144995,6.654456654453522e-05,-0.07389577315397378,0.07389577315397378
14,48,4,300,50,0.007462686567164179,0.007462686567164179,0.0,0.619843163209,0.0,-0.08045787545787547,0.08045787545787553
14,48,4,300,150,0.0,0.0,0.0,0.152055672149,0.0,-0.2781098901098901,0.27810989010989007
14,48,4,300,300,0.0,0.0,0.0,0.146855948636,0.0,-0.2787820512820513,0.27878205128205125
14,48,4,500,50,0.0625,0.0,-0.0625,1.007362747419,0.0,-0.011751526251526256,0.011751526251526312
14,48,4,500,150,0.0,0.0,0.0,0.410146025812,0.0,-0.1262057387057387,0.1262057387057387
14,48,4,500,300,0.0,0.0,0.0,0.51067103272,0.0,-0.07184371184371183,0.07184371184371185
14,48,10,100,50,0.0,0.0,0.0,0.948371484142,0.0,-0.0018632478632478605,0.0018632478632478744
14,48,10,100,150,0.0,0.0,0.0,0.95085833369,0.0,-0.0021178266178266195,0.002117826617826557
14,48,10,100,300,0.0,0.0,0.0,0.935723787183,0.0,-0.0026367521367521365,0.002636752136752074
14,48,10,300,50,0.0029850746268656717,0.0029850746268656717,0.0,0.93690255961,0.0,-0.0032802197802197786,0.003280219780219751
14,48,10,300,150,0.0,0.0,0.0,0.309789218531,0.0,-0.06281013431013431,0.06281013431013427
14,48,10,300,300,0.0,0.0,0.0,0.307968810014,0.0,-0.06304945054945055,0.06304945054945055
14,48,10,500,50,0.005,0.0,-0.005,0.545002482446,0.0,-0.056543956043956026,0.05654395604395601
14,48,10,500,150,0.0,0.0,0.0,0.47518011421,0.0,-0.06560500610500611,0.06560500610500608
14,48,10,500,300,0.0,0.0,0.0,0.475626598416,0.0,-0.0662051282051282,0.06620512820512814
14,48,16,100,50,0.0,0.0,0.0,0.836121435708,0.0,-0.008233821733821738,0.0082338217338217
14,48,16,100,150,0.0,0.0,0.0,0.159333528544,0.0,-0.03336630036630037,0.033366300366300394
14,48,16,100,300,0.0,0.0,0.0,0.170521796273,0.0,-0.03254945054945055,0.032549450549450576
14,48,16,300,50,0.0018656716417910447,0.0018656716417910447,0.0,0.855347560326,0.0,-0.006424297924297918,0.006424297924297884
14,48,16,300,150,0.0,0.0,0.0,0.822300625882,0.0,-0.008776556776556775,0.008776556776556754
14,48,16,300,300,0.0,0.0,0.0,0.378043680144,0.0,-0.03328327228327228,0.033283272283272325
14,48,16,500,50,0.0,0.0,0.0,0.94416765596,0.0,-0.004973748473748471,0.004973748473748429
14,48,16,500,150,0.0,0.0,0.0,0.85726735743,0.0,-0.012333943833943845,0.012333943833943928
14,48,16,500,300,0.0,0.0,0.0,0.572370552311,0.0,-0.03403968253968254,0.03403968253968259
15,48,4,100,50,0.0,0.0,0.0,0.195104397044,0.0,-0.1332826617826618,0.1332826617826618
15,48,4,100,150,0.0,0.0,0.0,0.256578962286,3.0525030525474506e-06,-0.1409242225059978,0.1409242225059978
15,48,4,100,300,0.0,0.0,0.0,0.26013335283,0.0,-0.1400250305250305,0.14002503052503057
15,48,4,300,50,0.007462686567164179,0.007462686567164179,0.0,0.449725012406,-2.0146520146480107e-05,-0.12291778565911926,0.12291778565911937
15,48,4,300,150,0.0,0.0,0.0,0.293487778344,0.0,-0.14111233211233212,0.1411123321123321
15,48,4,300,300,0.0,0.0,0.0,0.297212895519,0.0,-0.08025152625152625,0.0802515262515262
15,48,4,500,50,0.1125,0.25,0.1375,1.058698537654,-6.105006104983879e-06,-0.009238943671403599,0.009238943671403543
15,48,4,500,150,0.0,0.0,0.0,0.329924537138,0.0,-0.19416178266178263,0.19416178266178263
15,48,4,500,300,0.0,0.0,0.0,0.472953711507,0.0,-0.10524847374847374,0.10524847374847379
15,48,10,100,50,0.0,0.0,0.0,0.973521948297,0.0,-0.0006752136752136775,0.0006752136752137261
15,48,10,100,150,0.0,0.0,0.0,0.967312040799,0.0,-0.0014358974358974347,0.0014358974358973375
15,48,10,100,300,0.0,0.0,0.0,0.967308719071,0.0,-0.0012173382173382152,0.0012173382173382707
15,48,10,300,50,0.003003003003003003,0.003003003003003003,0.0,0.364781445489,0.0,-0.06407692307692309,0.06407692307692303
15,48,10,300,150,0.0,0.0,0.0,0.364722816452,0.0,-0.06257020757020756,0.06257020757020748
15,48,10,300,300,0.0,0.0,0.0,0.516034711275,0.0,-0.03116849816849817,0.031168498168498093
15,48,10,500,50,0.0,0.0,0.0,0.492641824419,0.0,-0.048949938949938945,0.04894993894993893
15,48,10,500,150,0.0,0.0,0.0,0.914846556246,0.0,-0.005882173382173381,0.005882173382173339
15,48,10,500,300,0.0,0.0,0.0,0.915728473444,0.0,-0.006503052503052512,0.006503052503052498
15,48,16,100,50,0.0,0.0,0.0,0.773342103431,0.0,-0.012674603174603172,0.012674603174603116
15,48,16,100,150,0.0,0.0,0.0,0.162784499428,0.0,-0.030208791208791212,0.030208791208791275
15,48,16,100,300,0.0,0.0,0.0,0.184151891447,0.0,-0.029254578754578753,0.02925457875457871
15,48,16,300,50,0.001869158878504673,0.001869158878504673,0.0,0.824769921373,1.8315018315284703e-06,-0.0068389201800096305,0.006838920180009644
15,48,16,300,150,0.0,0.0,0.0,0.391911005227,0.0,-0.02984676434676435,0.029846764346764365
15,48,16,300,300,0.0,0.0,0.0,0.415726417747,0.0,-0.02798046398046398,0.027980463980463943
15,48,16,500,50,0.0,0.0,0.0,0.918193536248,0.0,-0.005385836385836382,0.00538583638583634
15,48,16,500,150,0.0,0.0,0.0,0.596823840209,0.0,-0.02856288156288156,0.02856288156288156
15,48,16,500,300,0.0,0.0,0.0,0.578879191289,0.0,-0.029574481074481074,0.029574481074481018
16,48,4,100,50,0.0,0.0,0.0,0.204215761726,0.0,-0.14626862026862025,0.1462686202686202
16,48,4,100,150,0.0,0.0,0.0,0.213891353965,0.0,-0.14016422466422465,0.14016422466422473
16,48,4,100,300,0.0,0.0,0.0,0.215993092282,0.0,-0.13968009768009768,0.1396800976800977
